time,distance
0.0,99.0
0.05,1.2484573748053207
0.1,4.088791947885362
0.15,1.5601735429095018
0.2,2.743030127304229
0.25,1.8821487571051605
0.3,0.04519158475233498
0.35,4.303490814183511
0.4,2.3442487869979196
0.45,0.09107699129724534
0.5,0.8934145185213185
0.55,3.251462344661017
0.6,1.8130348845572195
0.65,99.0
0.7,1.9288771398534974
0.75,2.9256349291251897
0.8,1.030647808165544
0.85,1.216170620016351
0.9,1.678657326406874
0.95,0.11826021975868617
1.0,2.243381554289799
1.05,2.1264794536075615
1.1,3.0122810339219743
1.15,1.3715988453261665
1.2,1.9989800324622466
1.25,4.128351414339215
1.3,2.183152864604259
1.35,3.6476444333256657
1.4,3.0280085279592326
1.45,2.670348103938937
1.5,1.762186118279182
1.55,2.818308896628944
1.6,0.6226875711137507
1.65,2.448159751473012
1.7,0.5161362517030283
1.75,2.0338903945098203
1.8,1.3089041939909276
1.85,2.414889856164998
1.9,2.4948226157669104
1.95,1.3966559927894642
2.0,1.1651972276030138
2.05,3.2952528110284534
2.1,99.0
2.15,1.655486933180402
2.219,2.8862975907371418
2.25,3.173764785506288
2.3,0.9957764815950518
2.35,1.2786313610128843
2.4,1.565811501307829
2.45,1.4399126793328532
2.5,2.8107381646268115
2.55,2.2513746521993596
2.6,2.439866645078478
2.65,0.7039332494628652
2.7,0.5989337241336845
2.75,1.7245213751453896
2.8,1.3239882787333797
2.85,3.7050792351359974
2.9,1.68391619320425
2.95,1.378225317283941
3.0,0.6129852002559211
3.05,1.146939881244685
3.1,1.125438035489115
3.15,99.0
3.2,4.091291542803619
3.25,1.508782594141753
3.3,1.755584975284222
3.35,0.7948883070368242
3.4,2.029181920091982
3.45,1.0915988321210635
3.5,0.9140305291964992
3.55,0.2451675175275052
3.6,0.9186744375316185
3.65,2.2449147249690986
3.7,0.5162620995866134
3.75,2.308531838082951
3.8,99.0
3.85,2.021712431156488
3.9,1.7079996250258285
3.95,2.6976094112559212
4.0,2.294403820197097
4.05,99.0
4.1,0.7939576167218423
4.15,1.9993928875952227
4.2,0.6151247747972304
4.25,3.3735717402700063
4.3,1.6233570695130082
4.35,2.9673927422738258
4.4,1.480574015071218
4.45,3.7878333046498875
4.5,2.155428104379155
4.55,2.6351958921533662
4.6,3.639712510727698
4.65,2.4048693462868416
4.7,1.3642543903370572
4.75,2.2083911399020124
4.8,2.060520824798894
4.85,3.7680146249377424
4.9,0.8909391041704524
4.95,1.610746723456765
